invoiceno,invoicedate_ts,ordertotal
533027,2010-11-15 16:02:00,49844.99
531516,2010-11-08 16:45:00,45332.97
493819,2010-01-07 12:34:00,44051.60
524181,2010-09-27 16:59:00,33167.80
526934,2010-10-14 09:46:00,26007.08
512771,2010-06-17 16:53:00,25111.09
515944,2010-07-15 15:29:00,22863.36
503061,2010-03-29 16:47:00,22853.77
517731,2010-08-01 13:31:00,21984.00
495591,2010-01-26 10:25:00,18570.88
494243,2010-01-12 15:57:00,18532.30
531866,2010-11-10 11:28:00,18122.17
515187,2010-07-09 09:46:00,17995.88
530715,2010-11-04 11:36:00,17022.24
497946,2010-02-15 11:57:00,16973.10
536009,2010-11-29 15:07:00,16554.88
518673,2010-08-10 16:10:00,16483.00
537659,2010-12-07 16:43:00,15885.49
535104,2010-11-25 11:04:00,15070.22
523921,2010-09-24 16:19:00,14662.58
527870,2010-10-19 11:36:00,14583.78
490059,2009-12-03 13:30:00,14475.00
491812,2009-12-14 13:23:00,13854.20
537632,2010-12-07 15:08:00,13541.33
513647,2010-06-28 08:28:00,13330.38
527124,2010-10-14 19:46:00,12695.14
507178,2010-05-06 15:17:00,12569.48
519514,2010-08-18 09:19:00,12513.68
518505,2010-08-09 13:10:00,11880.84
524174,2010-09-27 16:30:00,11880.84
537640,2010-12-07 15:31:00,11540.34
531690,2010-11-09 11:49:00,11274.24
533088,2010-11-16 10:05:00,11229.99
526761,2010-10-13 10:53:00,11184.30
491456,2009-12-11 11:22:00,11016.00
502263,2010-03-23 15:22:00,10953.50
502265,2010-03-23 15:28:00,10953.50
509472,2010-05-24 11:11:00,10877.18
536982,2010-12-03 14:27:00,10661.69
522796,2010-09-16 15:12:00,10468.80
524159,2010-09-27 16:12:00,10468.80
525399,2010-10-05 11:49:00,10468.80
511465,2010-06-08 12:59:00,10200.00
502269,2010-03-23 15:36:00,10000.00
536156,2010-11-30 11:51:00,9953.60
498395,2010-02-18 15:13:00,9695.16
537657,2010-12-07 16:42:00,9639.12
504436,2010-04-13 13:33:00,9325.28
534750,2010-11-24 09:54:00,9278.94
496115,2010-01-29 11:04:00,8985.60
495228,2010-01-22 08:28:00,8951.24
523929,2010-09-24 16:50:00,8880.42
530514,2010-11-03 12:23:00,8661.80
492724,2009-12-18 10:59:00,8370.08
516781,2010-07-23 08:24:00,8328.31
520771,2010-08-31 11:19:00,8251.69
520771,2010-08-31 11:20:00,8251.69
537434,2010-12-06 16:57:00,8223.40
511634,2010-06-09 12:55:00,8141.14
494918,2010-01-19 17:49:00,7986.86
512411,2010-06-15 13:19:00,7896.14
499878,2010-03-03 09:59:00,7720.60
537240,2010-12-06 10:08:00,7660.48
533355,2010-11-17 10:03:00,7611.82
513653,2010-06-28 09:55:00,7500.32
497217,2010-02-07 14:27:00,7497.64
537237,2010-12-06 09:58:00,7335.45
530714,2010-11-04 11:35:00,7325.68
538071,2010-12-09 14:09:00,7268.65
536876,2010-12-03 11:36:00,7257.08
506467,2010-04-30 09:06:00,7210.32
492943,2009-12-21 13:04:00,7112.68
502887,2010-03-29 11:28:00,7090.80
525473,2010-10-05 15:16:00,7044.79
495194,2010-01-21 15:11:00,6989.40
501766,2010-03-19 11:35:00,6958.17
501768,2010-03-19 11:45:00,6958.17
536592,2010-12-01 17:06:00,6915.65
501534,2010-03-17 13:09:00,6866.30
509437,2010-05-23 15:21:00,6802.48
519640,2010-08-19 10:11:00,6785.24
494244,2010-01-12 16:02:00,6711.00
531411,2010-11-08 10:11:00,6706.71
504498,2010-04-14 11:16:00,6631.27
493885,2010-01-08 10:09:00,6624.00
523332,2010-09-21 14:48:00,6572.43
507122,2010-05-06 11:50:00,6564.37
490149,2009-12-04 09:43:00,6529.11
490074,2009-12-03 14:39:00,6500.63
498440,2010-02-19 09:37:00,6412.00
536031,2010-11-29 16:45:00,6381.40
490741,2009-12-07 17:56:00,6370.46
507235,2010-05-07 09:04:00,6361.97
491966,2009-12-14 17:16:00,6342.48
524706,2010-09-30 12:33:00,6332.63
529350,2010-10-28 09:29:00,6325.08
519195,2010-08-13 18:07:00,6314.00
529746,2010-10-29 14:18:00,6312.12
537638,2010-12-07 15:28:00,6293.86
508748,2010-05-18 11:45:00,6250.00
534859,2010-11-24 13:56:00,6203.01
491969,2009-12-14 17:57:00,6141.94
525968,2010-10-08 10:10:00,6082.08
537823,2010-12-08 14:25:00,6073.71
524182,2010-09-27 17:02:00,6069.60
503186,2010-03-30 14:47:00,6051.45
