description,revenue
REGENCY CAKESTAND 3 TIER,163051.46
WHITE HANGING HEART T-LIGHT HOLDER,157865.43
DOTCOM POSTAGE,116401.99
ASSORTED COLOUR BIRD ORNAMENT,72454.12
PAPER CHAIN KIT 50'S CHRISTMAS ,57870.20
JUMBO BAG RED RETROSPOT,56444.61
PARTY BUNTING,49645.52
ROTATING SILVER ANGELS T-LIGHT HLDR,47672.49
POSTAGE,46092.36
JUMBO BAG STRAWBERRY,36699.61
EDWARDIAN PARASOL NATURAL,36422.16
VINTAGE UNION JACK BUNTING,35819.71
STRAWBERRY CERAMIC TRINKET BOX,33834.70
EDWARDIAN PARASOL BLACK,32350.84
JUMBO  BAG BAROQUE BLACK WHITE,32225.29
JUMBO STORAGE BAG SUKI,31406.86
CHILLI LIGHTS,31086.10
CREAM HEART CARD HOLDER,30998.13
HOME BUILDING BLOCK WORD,30916.72
HOT WATER BOTTLE TEA AND SYMPATHY,30030.06
JUMBO SHOPPER VINTAGE RED PAISLEY,29471.45
LUNCH BAG RED SPOTTY,29373.62
VINTAGE UNION JACK MEMOBOARD,28653.24
BLACK RECORD COVER FRAME,28650.22
PAPER CHAIN KIT VINTAGE CHRISTMAS,28591.55
SET/5 RED SPOTTY LID GLASS BOWLS,28027.72
CHOCOLATE HOT WATER BOTTLE,27758.34
RED HANGING HEART T-LIGHT HOLDER,27375.98
SCOTTIE DOG HOT WATER BOTTLE,27290.27
JUMBO BAG PINK VINTAGE PAISLEY,27056.06
SMALL POPCORN HOLDER,26791.95
RED RETROSPOT CAKE STAND,26726.44
WOOD BLACK BOARD ANT WHITE FINISH,26657.75
JUMBO BAG PINK WITH WHITE SPOTS,26223.16
WOODEN FRAME ANTIQUE WHITE ,26075.16
JUMBO BAG SCANDINAVIAN PAISLEY,25889.12
RED WOOLLY HOTTIE WHITE HEART.,25521.15
ANTIQUE SILVER TEA GLASS ETCHED,25306.27
JUMBO BAG RED WHITE SPOTTY ,25054.27
TEA TIME CAKE STAND IN GIFT BOX,24966.63
HEART OF WICKER LARGE,24920.26
DOOR MAT UNION FLAG,24693.81
RED TOADSTOOL LED NIGHT LIGHT,24430.11
PAPER BUNTING RETRO SPOTS,23872.64
PACK OF 72 RETRO SPOT CAKE CASES,23759.26
SET/4 WHITE RETRO STORAGE CUBES ,23618.81
LOVE BUILDING BLOCK WORD,22801.53
LUNCH BAG  BLACK SKULL.,22424.53
COLOUR GLASS. STAR T-LIGHT HOLDER,22157.72
PLEASE ONE PERSON METAL SIGN,21788.87
ROUND SNACK BOXES SET OF 4 FRUITS ,21003.24
BLACK HEART CARD HOLDER,20698.03
LUNCH BAG SUKI  DESIGN ,20666.49
WOOD S/3 CABINET ANT WHITE FINISH,20638.08
EDWARDIAN PARASOL RED,20592.35
ROUND SNACK BOXES SET OF4 WOODLAND ,20363.21
NATURAL SLATE HEART CHALKBOARD ,20350.89
PAPER CHAIN KIT RETRO SPOT,19963.64
RECYCLING BAG RETROSPOT ,19765.67
LUNCH BAG CARS BLUE,19683.61
GRAND CHOCOLATECANDLE,19637.08
RETRO SPOT TEA SET CERAMIC 11 PC ,19565.99
VICTORIAN GLASS HANGING T-LIGHT,19515.48
LUNCH BAG WOODLAND,19263.30
WOODEN PICTURE FRAME WHITE FINISH,18946.72
HEART OF WICKER SMALL,18801.81
JUMBO BAG OWLS,18341.58
3 HEARTS HANGING DECORATION RUSTIC,18335.00
60 TEATIME FAIRY CAKE CASES,18128.25
VINTAGE UNION JACK CUSHION COVER,18023.60
BAKING SET 9 PIECE RETROSPOT ,17964.79
BOX OF VINTAGE ALPHABET BLOCKS,17824.63
RED  HARMONICA IN BOX ,17564.97
ENGLISH ROSE DESIGN QUILTED THROW,17397.76
PINK HAPPY BIRTHDAY BUNTING,17357.58
GIN + TONIC DIET METAL SIGN,17307.11
ZINC METAL HEART DECORATION,17295.10
DOORMAT UNION FLAG,17192.31
DOORMAT HEARTS,17010.51
COOK WITH WINE METAL SIGN ,16794.44
SWEETHEART CERAMIC TRINKET BOX,16788.75
SET OF 6 RIBBONS VINTAGE CHRISTMAS,16439.98
PACK OF 60 PINK PAISLEY CAKE CASES,16184.21
HANGING JAM JAR T-LIGHT HOLDER,16182.22
HAND OVER THE CHOCOLATE   SIGN ,16025.14
HAND WARMER SCOTTY DOG DESIGN,15965.52
JUMBO BAG WOODLAND ANIMALS,15916.32
CREAM SWEETHEART MINI CHEST,15906.85
DOOR MAT RED SPOT,15860.93
CERAMIC CAKE STAND + HANGING CAKES,15777.82
RED 3 PIECE MINI DOTS CUTLERY SET,15742.28
KNITTED UNION FLAG HOT WATER BOTTLE,15728.75
PINK 3 PIECE MINI DOTS CUTLERY SET,15710.90
VICTORIAN SEWING BOX LARGE,15654.24
CREAM CUPID HEARTS COAT HANGER,15650.70
RETRO SPOT CAKE STAND,15607.41
HAND WARMER OWL DESIGN,15560.48
SET 7 BABUSHKA NESTING BOXES,15525.08
RED/WHITE DOTS RUFFLED UMBRELLA,15407.48
HAND WARMER BIRD DESIGN,15401.43
SET OF 3 COLOURED  FLYING DUCKS,15239.15
LUNCH BAG SPACEBOY DESIGN ,15176.53
JUMBO BAG SPACEBOY DESIGN,15157.21
JUMBO BAG TOYS ,15142.28
PACK OF 6 BIRDY GIFT TAGS,14955.62
6 RIBBONS RUSTIC CHARM,14859.72
HANGING HEART ZINC T-LIGHT HOLDER,14692.14
COLOUR GLASS T-LIGHT HOLDER HANGING,14586.30
WOOD 2 DRAWER CABINET WHITE FINISH,14509.87
PINK CREAM FELT CRAFT TRINKET BOX ,14469.14
RED SPOTTY ROUND CAKE TINS,14440.14
FELTCRAFT 6 FLOWER FRIENDS,14395.28
ASSORTED COLOURS SILK FAN,14333.36
LUNCH BAG PINK RETROSPOT,14231.02
HEART FILIGREE DOVE  SMALL,14224.44
BLUE 3 PIECE MINI DOTS CUTLERY SET,14209.05
LARGE CAKE STAND  HANGING STRAWBERY,14152.66
TEA TIME PARTY BUNTING,14052.69
WHITE SKULL HOT WATER BOTTLE ,13982.23
JUMBO STORAGE BAG SKULLS,13887.16
PINK BLUE FELT CRAFT TRINKET BOX,13855.05
FAWN BLUE HOT WATER BOTTLE,13696.31
KENSINGTON COFFEE SET,13566.81
CHARLOTTE BAG SUKI DESIGN,13533.20
SMALL GLASS HEART TRINKET POT,13432.42
PAPER BUNTING WHITE LACE,13428.34
NO SINGING METAL SIGN,13367.08
WOODEN BOX ADVENT CALENDAR ,13310.10
BLUE HAPPY BIRTHDAY BUNTING,13294.60
PACK OF 72 SKULL CAKE CASES,13293.86
RED RETROSPOT TRADITIONAL TEAPOT ,13283.67
DOOR MAT NEW ENGLAND,13202.35
GROW YOUR OWN PLANT IN A CAN ,13022.03
DOORMAT FANCY FONT HOME SWEET HOME,13006.32
SPACEBOY LUNCH BOX ,12976.58
PLASTERS IN TIN CIRCUS PARADE ,12536.57
HOT WATER BOTTLE BABUSHKA ,12531.34
BLACK/BLUE DOTS RUFFLED UMBRELLA,12497.12
VINTAGE CREAM 3 BASKET CAKE STAND,12483.86
PLASTERS IN TIN SPACEBOY,12482.49
WOODEN CROQUET GARDEN SET,12394.26
MEMO BOARD RETROSPOT  DESIGN,12349.06
VINTAGE HEADS AND TAILS CARD GAME ,12346.33
HEART IVORY TRELLIS SMALL,12251.69
DOLLY GIRL LUNCH BOX,12222.31
NATURAL SLATE CHALKBOARD LARGE ,12154.81
 WHITE CHERRY LIGHTS,12108.86
HANGING HEART JAR T-LIGHT HOLDER,12046.16
RED SPOT HEART HOT WATER BOTTLE,11792.46
SET/20 RED SPOTTY PAPER NAPKINS ,11778.92
PINK PAPER PARASOL ,11766.73
CHOCOLATE THIS WAY METAL SIGN,11765.09
HOME SWEET HOME METAL SIGN ,11656.32
IVORY KITCHEN SCALES,11622.96
DOOR MAT FAIRY CAKE,11533.79
SILVER HANGING T-LIGHT HOLDER,11523.12
WOODLAND CHARLOTTE BAG,11508.15
ANTIQUE LILY FAIRY LIGHTS,11496.96
VINTAGE SNAP CARDS,11489.22
HOT BATHS METAL SIGN,11379.12
WORLD WAR 2 GLIDERS ASSTD DESIGNS,11310.29
MINI PAINT SET VINTAGE ,11291.72
LADIES & GENTLEMEN METAL SIGN,11227.05
PICNIC BASKET WICKER LARGE,11192.48
MEMO BOARD COTTAGE DESIGN,11184.16
HEART IVORY TRELLIS LARGE,11171.19
WHITE METAL LANTERN,11168.04
SINGLE HEART ZINC T-LIGHT HOLDER,11094.40
SET OF 72 RETRO SPOT PAPER  DOILIES,10939.25
72 SWEETHEART FAIRY CAKE CASES,10916.64
RED SPOTTY BISCUIT TIN,10862.32
PINK HEART SHAPE EGG FRYING PAN,10596.29
DOOR MAT SPOTTY HOME SWEET HOME,10570.55
DOORMAT FAIRY CAKE,10557.96
HOT WATER BOTTLE I AM SO POORLY,10539.77
CHICK GREY HOT WATER BOTTLE,10525.88
15CM CHRISTMAS GLASS BALL 20 LIGHTS,10492.14
DOOR MAT 3 SMILEY CATS,10474.25
WOODEN ROUNDERS GARDEN SET ,10471.28
POTTERING IN THE SHED METAL SIGN,10442.70
GREY HEART HOT WATER BOTTLE,10349.94
LUNCH BOX I LOVE LONDON,10348.77
DOOR MAT HEARTS,10335.89
FELTCRAFT CUSHION BUTTERFLY,10279.38
RED SPOTTY CHARLOTTE BAG,10182.79
PAPER CHAIN KIT EMPIRE,10178.91
ASSORTED COLOUR MINI CASES,10154.19
3 HOOK PHOTO SHELF ANTIQUE WHITE,10151.10
PICNIC BASKET WICKER SMALL,10032.88
WOODEN SKITTLES GARDEN SET,10026.73
PLASTERS IN TIN VINTAGE PAISLEY ,9969.72
GUMBALL COAT RACK,9920.58
CAKE STAND 3 TIER MAGIC GARDEN,9885.52
SET/3 RUSSIAN DOLL STACKING TINS,9824.98
MULTI COLOUR SILVER T-LIGHT HOLDER,9818.90
LARGE POPCORN HOLDER ,9815.36
DOOR MAT ENGLISH ROSE ,9814.85
RED KITCHEN SCALES,9802.18
PINK CHERRY LIGHTS,9793.58
PLASTERS IN TIN WOODLAND ANIMALS,9789.29
WOODEN SCHOOL COLOURING SET,9775.77
FELTCRAFT BUTTERFLY HEARTS,9759.46
FELTCRAFT CUSHION RABBIT,9720.34
RED WHITE SCARF  HOT WATER BOTTLE,9719.81
DOORMAT NEW ENGLAND,9709.36
HEART FILIGREE DOVE LARGE,9703.78
PAINTED METAL PEARS ASSORTED,9594.41
RED RETROSPOT JUMBO BAG ,9535.24
TOY TIDY PINK RETROSPOT  ,9533.73
HAND WARMER UNION JACK,9522.61
BAKING SET SPACEBOY DESIGN,9407.49
CHILDS BREAKFAST SET DOLLY GIRL ,9325.11
ROSES REGENCY TEACUP AND SAUCER ,9307.37
VINTAGE UNION JACK DOORSTOP,9281.99
RETROSPOT HEART HOT WATER BOTTLE,9245.76
PACK OF 60 DINOSAUR CAKE CASES,9237.64
PICCADILLY TEA SET,9184.47
HOME SWEET HOME MUG,9141.19
WOODEN UNION JACK BUNTING,9100.54
FAMILY ALBUM WHITE PICTURE FRAME,9093.74
RECIPE BOX WITH METAL HEART,9027.81
PLASTERS IN TIN STRONGMAN,9026.34
ANTIQUE SILVER TEA GLASS ENGRAVED,8918.27
CHRISTMAS TOILET ROLL,8914.72
BROCADE RING PURSE ,8879.82
RETROSPOT TEA SET CERAMIC 11 PC ,8841.96
BAG 250g SWIRLY MARBLES,8800.11
SWEETHEART KEY CABINET,8775.25
RED SPOTTY SHOPPER BAG,8748.09
FILIGRIS HEART WITH BUTTERFLY,8721.09
ENAMEL BREAD BIN CREAM,8694.28
CHILDS BREAKFAST SET CIRCUS PARADE,8641.67
CHRISTMAS LIGHTS 10 REINDEER,8634.35
WOODEN BOX OF DOMINOES,8612.78
METAL SIGN TAKE IT OR LEAVE IT ,8578.00
CHILDS BREAKFAST SET SPACEBOY ,8577.55
TRAVEL SEWING KIT,8577.31
PHARMACIE FIRST AID TIN,8557.99
TRADITIONAL MODELLING CLAY,8520.59
WHITE DOVE HONEYCOMB PAPER GARLAND,8519.20
HAND WARMER RED RETROSPOT,8498.79
DOORMAT SPOTTY HOME SWEET HOME,8498.54
PARTY CONE CHRISTMAS DECORATION ,8489.54
PICTURE FRAME WOOD TRIPLE PORTRAIT,8467.81
DOORMAT RED RETROSPOT,8455.32
TEA TIME KITCHEN APRON,8439.21
FELTCRAFT CUSHION OWL,8431.86
DOOR MAT WELCOME PUPPIES,8423.69
JUMBO BAG PINK POLKADOT,8402.11
